측 정 소: ,701,광복동,,,,,,,,,,,,,,,,,,,,,,,,,
측정항목: ,1,O₃,,,,,,,,,,,,,,,,,,,,,,,,,
측정년월: , 2010년,01월,,,,,,,,,,,,,,,,,,,,,,,,,
구 분,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최소,최대,평균
1일,0.025,0.025,0.026,0.027,0.025,0.026,0.023,0.023,0.019,0.023,0.025,0.026,0.028,0.023,0.027,0.028,0.023,0.01,0.003,0.002,0.001,0.002,0.006,0.011,0.001,0.028,0.019
2일,0.018,0.02,0.02,0.026,0.028,0.026,0.006,0.001,0.001,0.002,0.007,0.018,0.024,0.023,0.026,0.029,0.028,0.022,0.003,0.002,0.004,0.018,0.02,0.021,0.001,0.029,0.016
3일,0.028,0.029,0.027,0.029,0.032,0.028,0.024,0.011,0.016,0.023,0.025,0.028,0.029,0.033,0.038,0.035,0.034,0.025,0.01,0.001,0.003,0.012,0.019,0.029,0.001,0.038,0.024
4일,0.031,0.019,0.004,0.001,0.003,0.001,0.001,0.001,0.002,0.002,0.003,0.013,0.017,0.025,0.021,0.021,0.024,0.023,0.022,0.018,0.02,0.022,0.024,0.024,0.001,0.031,0.014
5일,0.03,0.03,0.033,0.033,0.031,0.027,0.026,0.025,0.023,0.022,0.026,0.029,0.028,0.033,0.031,0.034,0.025,0.022,0.025,0.021,0.02,0.027,0.03,0.03,0.02,0.034,0.028
6일,0.029,0.029,0.031,0.026,0.028,0.023,0.018,0.012,0.017,0.016,0.022,교정중,0.015,0.019,0.017,0.019,0.016,0.014,0.014,0.009,0.01,0.013,0.014,0.022,0.009,0.031,0.019
7일,0.025,0.025,0.024,0.023,0.022,0.021,0.02,0.016,0.012,0.01,0.014,0.015,0.015,0.017,0.019,0.017,0.018,0.018,0.014,0.01,0.012,0.014,0.014,0.014,0.01,0.025,0.017
8일,0.019,0.018,0.017,0.017,0.017,0.015,0.017,0.016,0.011,0.008,0.007,0.006,0.005,0.007,0.008,0.009,0.013,0.01,0.008,0.007,0.004,0.007,0.008,0.011,0.004,0.019,0.011
9일,0.014,0.017,0.019,0.02,0.016,0.021,0.023,0.024,0.013,0.008,0.006,0.006,0.008,0.012,0.012,0.011,0.009,0.011,0.012,0.011,0.009,0.006,0.003,0.003,0.003,0.024,0.012
10일,0.003,0.005,0.008,0.009,0.011,0.012,0.009,0.01,0.013,0.011,0.008,0.007,0.009,0.008,0.007,0.007,0.005,0.003,0.003,0.004,0.003,0.004,0.004,0.005,0.003,0.013,0.007
11일,0.01,0.012,0.013,0.014,0.014,0.015,0.016,0.014,0.011,0.005,0.005,0.007,0.014,0.017,0.016,0.02,0.018,0.016,0.017,0.016,0.015,0.017,0.016,0.022,0.005,0.022,0.014
12일,0.02,0.014,0.015,0.023,0.028,0.026,0.024,0.022,0.017,0.012,교정중,교정중,0.015,0.019,0.023,0.024,0.02,0.02,0.017,0.015,0.017,0.014,0.007,0.005,0.005,0.028,0.018
13일,0.008,0.014,0.019,0.019,0.021,0.023,0.019,0.018,0.018,0.018,0.016,0.021,0.02,0.019,0.021,0.023,0.029,0.027,0.023,0.02,0.02,0.021,0.023,0.026,0.008,0.029,0.02
14일,0.025,0.026,0.027,0.027,0.028,0.029,0.022,0.013,0.009,0.007,0.006,0.006,0.005,0.006,0.01,0.009,0.011,0.011,0.006,0.004,0.003,0.003,0.003,0.003,0.003,0.029,0.012
15일,0.004,0.006,0.009,0.012,0.01,0.009,0.005,0.003,0.003,0.003,0.003,0.003,0.004,0.005,0.011,0.016,0.018,0.016,0.008,0.003,0.003,0.004,0.008,0.011,0.003,0.018,0.007
16일,0.015,0.016,0.021,0.021,0.02,0.02,0.017,0.014,0.01,0.008,0.005,0.005,0.007,0.011,0.015,0.017,0.019,0.014,0.006,0.003,0.003,0.003,0.003,0.003,0.003,0.021,0.012
17일,0.007,0.015,0.016,0.018,0.02,0.019,0.004,0.004,0.008,0.01,0.009,0.012,0.014,0.01,0.013,0.018,0.018,0.013,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.02,0.01
18일,0.004,0.003,0.005,0.011,0.012,0.01,0.008,0.003,0.003,0.004,0.004,0.004,0.003,0.003,0.004,0.007,0.008,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.012,0.005
19일,동작불량,동작불량,동작불량,동작불량,동작불량,동작불량,동작불량,동작불량,동작불량,동작불량,동작불량,동작불량,교정중,교정중,0.01,0.01,0.012,0.015,0.021,0.023,0.024,0.025,0.029,0.013,0.01,0.029,0.018
20일,0.013,0.015,0.02,0.029,0.024,0.022,0.018,0.014,0.01,0.008,0.009,0.007,0.008,0.015,0.022,0.018,0.022,0.018,0.011,0.009,0.012,0.003,0.004,0.002,0.002,0.029,0.014
21일,0.003,0.003,0.005,0.006,0.009,0.01,0.016,0.013,0.006,0.008,0.016,0.017,0.023,0.024,0.027,0.032,0.032,0.025,0.017,0.013,0.023,0.027,0.023,0.025,0.003,0.032,0.017
22일,0.026,0.025,0.026,0.025,0.023,0.021,0.02,0.015,0.01,0.012,0.014,0.023,0.021,0.026,0.032,0.03,0.026,0.026,0.024,0.023,0.021,0.027,0.03,0.028,0.01,0.032,0.023
23일,0.034,0.034,0.032,0.033,0.03,0.032,0.03,0.027,0.021,0.027,0.031,0.029,0.026,0.029,0.028,0.029,0.027,0.024,0.02,0.016,0.019,0.019,0.022,0.024,0.016,0.034,0.027
24일,0.026,0.026,0.026,0.029,0.029,0.029,0.029,0.025,0.021,0.024,0.024,0.022,0.022,0.017,0.028,0.031,0.026,0.017,0.014,0.016,0.019,0.02,0.017,0.016,0.014,0.031,0.023
25일,0.012,0.017,0.023,0.028,0.028,0.03,0.029,0.018,0.018,0.013,0.011,0.018,0.025,0.032,0.036,0.032,0.028,0.027,0.027,0.017,0.019,0.023,0.026,0.026,0.011,0.036,0.023
26일,0.028,0.025,0.025,0.027,0.026,0.023,0.022,0.019,0.014,0.01,0.016,교정중,교정중,0.017,0.015,0.012,0.01,0.008,0.005,0.003,0.003,0.003,0.003,0.003,0.003,0.028,0.014
27일,0.003,0.004,0.004,0.007,0.004,0.004,0.005,0.008,0.008,0.008,0.007,0.005,0.005,0.007,0.008,0.013,0.012,0.01,0.011,0.017,0.017,0.019,0.017,0.015,0.003,0.019,0.009
28일,0.01,0.007,0.01,0.012,0.015,0.021,0.02,0.013,0.009,0.009,0.009,0.011,0.015,0.016,0.015,0.015,0.016,0.014,0.01,0.004,0.005,0.012,0.017,0.018,0.004,0.021,0.013
29일,0.02,0.019,0.023,0.026,0.026,0.022,0.013,0.007,0.015,0.014,0.012,0.014,0.019,0.02,0.021,0.023,0.024,0.023,0.02,0.019,0.017,0.011,0.012,0.015,0.007,0.026,0.018
30일,0.022,0.025,0.024,0.024,0.024,0.025,0.024,0.02,0.015,0.014,0.01,0.013,0.015,0.017,0.014,0.012,0.012,0.013,0.014,0.01,0.006,0.006,0.006,0.007,0.006,0.025,0.016
31일,0.008,0.006,0.004,0.005,0.007,0.009,0.011,0.011,0.006,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.004,0.008,0.01,0.003,0.003,0.003,0.003,0.004,0.003,0.011,0.005
최소,0.003,0.003,0.004,0.001,0.003,0.001,0.001,0.001,0.001,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.001,0.001,0.002,0.003,0.002,0.001,,
최대,0.034,0.034,0.033,0.033,0.032,0.032,0.03,0.027,0.023,0.027,0.031,0.029,0.029,0.033,0.038,0.035,0.034,0.027,0.027,0.023,0.024,0.027,0.03,0.03,,0.038,
평균,0.017,0.018,0.019,0.02,0.02,0.02,0.017,0.014,0.012,0.011,0.012,0.014,0.015,0.017,0.019,0.019,0.019,0.016,0.013,0.01,0.011,0.013,0.013,0.014,,,0.016
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
측 정 소: ,701,광복동,,,,,,,,,,,,,,,,,,,,,,,,,
측정항목: ,5,SO₂,,,,,,,,,,,,,,,,,,,,,,,,,
측정년월: , 2010년,01월,,,,,,,,,,,,,,,,,,,,,,,,,
구 분,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최소,최대,평균
1일,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.006,0.006,0.007,0.007,0.008,0.008,0.007,0.006,0.002,0.008,0.004
2일,0.005,0.006,0.005,0.006,0.008,0.009,0.017,0.026,0.021,0.016,0.015,0.01,0.01,0.01,0.009,0.008,0.007,0.009,0.008,0.009,0.011,0.009,0.008,0.008,0.005,0.026,0.01
3일,0.007,0.008,0.01,0.01,0.008,0.007,0.007,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.005,0.006,0.006,0.005,0.004,0.004,0.003,0.01,0.006
4일,0.004,0.009,0.012,0.008,0.012,0.016,0.012,0.012,0.029,0.034,0.025,0.009,0.008,0.007,0.008,0.009,0.008,0.008,0.007,0.008,0.007,0.005,0.004,0.004,0.004,0.034,0.011
5일,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.006,0.005,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.006,0.004
6일,0.002,0.002,0.002,0.002,0.003,0.004,0.004,0.004,0.004,0.004,0.004,교정중,0.002,0.002,0.003,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.004,0.003
7일,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.004,0.004,0.002,0.004,0.003
8일,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.004,0.004
9일,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.002,0.005,0.003
10일,0.005,0.004,0.004,0.004,0.005,0.005,0.007,0.01,0.01,0.011,0.011,0.01,0.009,0.009,0.009,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.004,0.011,0.008
11일,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.008,0.009,0.01,0.011,0.011,0.011,0.011,0.012,0.012,0.011,0.01,0.009,0.009,0.008,0.007,0.007,0.006,0.006,0.012,0.009
12일,0.006,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.004,0.005,교정중,교정중,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.005,0.005,0.006,0.007,0.008,0.003,0.008,0.006
13일,0.008,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.009,0.006
14일,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.004,0.008,0.006
15일,0.007,0.006,0.006,0.006,0.007,0.008,0.01,0.011,0.009,0.008,0.012,0.015,0.012,0.009,0.008,0.008,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.006,0.015,0.008
16일,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.005,0.005,0.005,0.007,0.007,0.007,0.008,0.008,0.007,0.007,0.005,0.008,0.007
17일,0.006,0.006,0.005,0.005,0.005,0.005,0.006,0.007,0.005,0.005,0.005,0.005,0.005,0.007,0.006,0.005,0.004,0.004,0.006,0.007,0.007,0.007,0.007,0.007,0.004,0.007,0.006
18일,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.009,0.012,0.016,0.017,0.018,0.017,0.017,0.015,0.016,0.019,0.02,0.021,0.019,0.018,0.017,0.017,0.018,0.006,0.021,0.014
19일,0.018,0.017,0.017,0.016,0.016,0.017,0.018,0.022,0.03,0.033,0.029,0.025,교정중,교정중,0.014,0.011,0.01,0.009,0.008,0.006,0.004,0.004,0.003,0.004,0.003,0.033,0.015
20일,0.004,0.004,0.003,0.003,0.004,0.004,0.004,0.003,0.002,0.002,0.002,0.003,0.003,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.003,0.005,0.004,0.001,0.005,0.003
21일,0.004,0.004,0.004,0.005,0.004,0.003,0.003,0.002,0.002,0.003,0.002,0.003,0.004,0.006,0.008,0.006,0.004,0.003,0.003,0.003,0.002,0.001,0.001,0.001,0.001,0.008,0.003
22일,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
23일,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
24일,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.003,0.001
25일,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.004,0.005,0.006,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.002
26일,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,교정중,교정중,0.004,0.004,0.003,0.003,0.003,0.004,0.005,0.004,0.004,0.004,0.004,0.001,0.005,0.002
27일,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.005,0.005,0.005,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.006,0.004
28일,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003
29일,0.003,0.003,0.004,0.005,0.006,0.005,0.004,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.004,0.003,0.003,0.003,0.006,0.004
30일,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.006,0.005,0.005,0.007,0.008,0.008,0.008,0.008,0.002,0.008,0.004
31일,0.008,0.008,0.009,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.009,0.009,0.01,0.013,0.012,0.011,0.009,0.008,0.009,0.009,0.008,0.007,0.007,0.007,0.013,0.009
최소,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,
최대,0.018,0.017,0.017,0.016,0.016,0.017,0.018,0.026,0.03,0.034,0.029,0.025,0.017,0.017,0.015,0.016,0.019,0.02,0.021,0.019,0.018,0.017,0.017,0.018,,0.034,
평균,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.007,0.007,0.007,0.006,0.006,0.005,0.006,0.006,0.005,0.006,0.005,0.006,0.005,0.005,0.005,0.005,,,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
측 정 소: ,701,광복동,,,,,,,,,,,,,,,,,,,,,,,,,
측정항목: ,6,CO,,,,,,,,,,,,,,,,,,,,,,,,,
측정년월: , 2010년,01월,,,,,,,,,,,,,,,,,,,,,,,,,
구 분,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최소,최대,평균
1일,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.7,0.5,0.4,0.4,0.3,0.7,0.4
2일,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.7,1.2,1.6,0.7,0.5,0.4,0.4,0.4,0.4,0.4,0.5,1.2,1.4,1.1,0.6,0.5,0.5,0.3,1.6,0.6
3일,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,0.7,0.6,0.4,0.3,0.3,0.3,0.7,0.4
4일,0.3,0.3,0.4,0.5,0.4,0.5,0.7,0.7,1.5,1.6,1.1,0.3,0.3,0.3,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,1.6,0.5
