측 정 소: ,701,광복동,,,,,,,,,,,,,,,,,,,,,,,,,
5일,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3
6일,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.4,0.4,교정중,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.2,0.4,0.3
7일,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.3
8일,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.5,0.4
9일,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.5,0.3,0.5,0.3
10일,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.8,0.7,0.6,0.6,0.3,0.9,0.6
11일,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.9,0.6
12일,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,교정중,교정중,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.3
13일,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.5,0.3
14일,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.7,0.8,0.7,0.6,0.5,0.3,0.8,0.4
15일,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.5,0.6,0.8,0.8,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.5,0.4,0.4,0.3,0.8,0.5
16일,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.8,0.8,0.7,0.5,0.4,0.3,0.8,0.4
17일,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,0.7,0.7,0.7,0.6,0.6,0.3,0.7,0.4
18일,0.5,0.4,0.4,0.4,0.3,0.3,0.4,0.5,0.7,1.2,1,0.8,0.8,0.8,0.7,0.7,0.7,0.8,1.1,1.2,1.1,1.2,1,1.2,0.3,1.2,0.8
19일,1.4,1.7,1.5,1.4,1.3,1.3,1.2,1.4,1.9,2.3,2.6,2,교정중,교정중,0.5,0.6,0.6,0.6,0.6,0.5,0.4,0.4,0.3,0.3,0.3,2.6,1.1
20일,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.4,0.3,0.5,0.3
21일,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.4,0.5,0.6,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.6,0.4
22일,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2
23일,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3
24일,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.6,0.6,0.5,0.4,0.4,0.4,0.5,0.2,0.6,0.3
25일,0.6,0.7,0.5,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.7,0.4
26일,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,교정중,교정중,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.5,0.4,0.4,0.2,0.6,0.3
27일,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4
28일,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.5,0.4
29일,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.3,0.5,0.4
30일,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.7,0.8,0.9,1,1,0.3,1,0.5
31일,1.1,1.1,1,1,0.8,0.8,0.8,0.8,0.8,1,1.1,1,1,1,1,0.9,0.9,0.7,0.7,1,1.2,1.2,1.1,0.8,0.7,1.2,1
최소,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,
최대,1.4,1.7,1.5,1.4,1.3,1.3,1.2,1.4,1.9,2.3,2.6,2,1,1,1,0.9,0.9,0.8,1.2,1.4,1.2,1.2,1.1,1.2,,2.6,
평균,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.5,0.5,0.4,0.4,,,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
측 정 소: ,701,광복동,,,,,,,,,,,,,,,,,,,,,,,,,
측정항목: ,2,NO₂,,,,,,,,,,,,,,,,,,,,,,,,,
측정년월: , 2010년,01월,,,,,,,,,,,,,,,,,,,,,,,,,
구 분,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최소,최대,평균
1일,0.011,0.011,0.011,0.01,0.011,0.01,0.014,0.016,0.02,0.015,0.015,0.015,0.017,0.017,0.018,0.019,0.025,0.041,0.05,0.053,0.053,0.047,0.039,0.031,0.01,0.053,0.024
2일,0.022,0.019,0.018,0.013,0.017,0.021,0.047,0.058,0.067,0.068,0.049,0.032,0.03,0.033,0.032,0.029,0.031,0.042,0.063,0.067,0.056,0.035,0.032,0.027,0.013,0.068,0.038
3일,0.017,0.018,0.018,0.017,0.014,0.015,0.02,0.032,0.022,0.016,0.015,0.014,0.013,0.013,0.014,0.016,0.018,0.028,0.047,0.054,0.049,0.036,0.033,0.022,0.013,0.054,0.023
4일,0.021,0.032,0.043,0.047,0.043,0.048,0.048,0.053,0.07,0.072,0.058,0.038,0.034,0.029,0.03,0.028,0.026,0.025,0.027,0.03,0.026,0.025,0.024,0.019,0.019,0.072,0.037
5일,0.017,0.014,0.013,0.011,0.012,0.014,0.015,0.015,0.019,0.02,0.016,0.015,0.017,0.015,0.016,0.017,0.02,0.027,0.028,0.026,0.024,0.021,0.018,0.014,0.011,0.028,0.018
6일,0.014,0.012,0.011,0.013,0.013,0.017,0.025,0.035,0.028,0.028,0.022,교정중,0.02,0.018,0.019,0.019,0.021,0.021,0.025,0.029,0.029,0.024,0.02,0.016,0.011,0.035,0.021
7일,0.013,0.01,0.009,0.008,0.009,0.01,0.012,0.016,0.021,0.025,0.022,0.022,0.023,0.021,0.021,0.022,0.022,0.025,0.026,0.027,0.027,0.023,0.023,0.021,0.008,0.027,0.019
8일,0.018,0.017,0.017,0.016,0.016,0.016,0.016,0.018,0.023,0.027,0.031,0.033,0.035,0.035,0.034,0.034,0.03,0.031,0.032,0.033,0.036,0.033,0.031,0.026,0.016,0.036,0.027
9일,0.022,0.016,0.014,0.013,0.014,0.015,0.014,0.015,0.022,0.026,0.031,0.031,0.03,0.027,0.029,0.029,0.031,0.03,0.028,0.029,0.03,0.032,0.037,0.037,0.013,0.037,0.025
10일,0.036,0.031,0.027,0.025,0.021,0.02,0.023,0.022,0.02,0.023,0.027,0.029,0.027,0.029,0.033,0.035,0.038,0.041,0.042,0.042,0.042,0.04,0.036,0.032,0.02,0.042,0.031
11일,0.025,0.022,0.02,0.018,0.017,0.015,0.016,0.018,0.025,0.034,0.037,0.038,0.032,0.032,0.032,0.03,0.029,0.03,0.028,0.028,0.024,0.022,0.021,0.019,0.015,0.038,0.026
12일,0.017,0.015,0.014,0.014,0.012,0.012,0.013,0.015,0.019,0.023,교정중,교정중,0.024,0.023,0.02,0.019,0.019,0.021,0.027,0.027,0.024,0.026,0.034,0.036,0.012,0.036,0.021
13일,0.032,0.023,0.019,0.015,0.014,0.013,0.014,0.017,0.019,0.021,0.023,0.018,0.019,0.019,0.02,0.02,0.017,0.016,0.018,0.022,0.022,0.017,0.014,0.011,0.011,0.032,0.018
14일,0.01,0.009,0.008,0.008,0.009,0.009,0.013,0.022,0.028,0.031,0.033,0.035,0.035,0.037,0.034,0.034,0.032,0.033,0.038,0.044,0.046,0.046,0.044,0.043,0.008,0.046,0.028
15일,0.04,0.032,0.026,0.023,0.028,0.03,0.038,0.044,0.047,0.048,0.051,0.054,0.051,0.046,0.037,0.031,0.029,0.032,0.04,0.048,0.048,0.044,0.038,0.033,0.023,0.054,0.039
16일,0.028,0.025,0.02,0.018,0.018,0.019,0.02,0.025,0.029,0.033,0.038,0.041,0.041,0.033,0.027,0.026,0.027,0.034,0.042,0.05,0.051,0.05,0.045,0.044,0.018,0.051,0.033
17일,0.034,0.024,0.019,0.016,0.013,0.017,0.035,0.038,0.029,0.03,0.033,0.029,0.026,0.032,0.027,0.024,0.023,0.029,0.045,0.05,0.049,0.047,0.046,0.045,0.013,0.05,0.032
18일,0.044,0.043,0.038,0.029,0.026,0.027,0.032,0.04,0.042,0.043,0.043,0.046,0.048,0.052,0.052,0.049,0.051,0.058,0.062,0.061,0.059,0.059,0.057,0.058,0.026,0.062,0.047
19일,0.06,0.062,0.059,0.057,0.055,0.055,0.056,0.059,0.069,0.08,0.085,0.073,교정중,교정중,0.058,0.058,0.055,0.052,0.042,0.036,0.034,0.032,0.029,0.04,0.029,0.085,0.055
20일,0.038,0.035,0.03,0.024,0.025,0.025,0.029,0.033,0.038,0.041,0.042,0.045,0.043,0.036,0.029,0.032,0.029,0.031,0.036,0.039,0.034,0.041,0.041,0.04,0.024,0.045,0.035
21일,0.038,0.036,0.033,0.03,0.028,0.027,0.024,0.025,0.032,0.036,0.03,0.03,0.028,0.026,0.024,0.023,0.024,0.03,0.036,0.041,0.031,0.028,0.024,0.019,0.019,0.041,0.029
22일,0.017,0.015,0.013,0.012,0.012,0.013,0.015,0.02,0.027,0.026,0.025,0.021,0.022,0.019,0.017,0.018,0.02,0.021,0.022,0.023,0.023,0.019,0.016,0.015,0.012,0.027,0.019
23일,0.013,0.011,0.011,0.009,0.009,0.008,0.011,0.014,0.017,0.018,0.015,0.017,0.017,0.016,0.017,0.018,0.019,0.021,0.024,0.027,0.025,0.023,0.02,0.017,0.008,0.027,0.017
24일,0.014,0.013,0.011,0.009,0.009,0.009,0.009,0.012,0.015,0.016,0.017,0.02,0.02,0.026,0.021,0.019,0.024,0.031,0.032,0.031,0.027,0.027,0.029,0.027,0.009,0.032,0.02
25일,0.028,0.024,0.02,0.015,0.014,0.014,0.02,0.026,0.027,0.038,0.04,0.034,0.029,0.024,0.021,0.023,0.026,0.026,0.027,0.03,0.026,0.021,0.018,0.016,0.014,0.04,0.024
26일,0.013,0.013,0.012,0.011,0.012,0.014,0.014,0.017,0.023,0.028,0.026,교정중,교정중,0.023,0.023,0.025,0.027,0.031,0.038,0.042,0.042,0.04,0.038,0.037,0.011,0.042,0.025
27일,0.035,0.032,0.031,0.028,0.031,0.031,0.029,0.025,0.029,0.032,0.034,0.037,0.039,0.038,0.038,0.032,0.034,0.035,0.035,0.029,0.022,0.02,0.023,0.023,0.02,0.039,0.031
28일,0.025,0.028,0.025,0.023,0.02,0.017,0.018,0.025,0.03,0.031,0.031,0.029,0.025,0.024,0.025,0.025,0.024,0.026,0.031,0.037,0.037,0.03,0.024,0.022,0.017,0.037,0.026
29일,0.019,0.018,0.015,0.014,0.012,0.013,0.022,0.029,0.025,0.025,0.026,0.025,0.021,0.021,0.022,0.022,0.022,0.023,0.027,0.026,0.029,0.032,0.029,0.025,0.012,0.032,0.023
30일,0.015,0.012,0.011,0.011,0.01,0.01,0.012,0.017,0.021,0.024,0.029,0.027,0.026,0.026,0.032,0.037,0.037,0.035,0.036,0.041,0.043,0.043,0.04,0.038,0.01,0.043,0.026
31일,0.035,0.037,0.041,0.038,0.034,0.03,0.029,0.029,0.033,0.04,0.042,0.043,0.045,0.047,0.051,0.054,0.055,0.049,0.047,0.055,0.056,0.056,0.054,0.049,0.029,0.056,0.044
최소,0.01,0.009,0.008,0.008,0.009,0.008,0.009,0.012,0.015,0.015,0.015,0.014,0.013,0.013,0.014,0.016,0.017,0.016,0.018,0.022,0.022,0.017,0.014,0.011,0.008,,
최대,0.06,0.062,0.059,0.057,0.055,0.055,0.056,0.059,0.07,0.08,0.085,0.073,0.051,0.052,0.058,0.058,0.055,0.058,0.063,0.067,0.059,0.059,0.057,0.058,,0.085,
평균,0.025,0.023,0.021,0.019,0.019,0.019,0.023,0.027,0.03,0.033,0.033,0.032,0.029,0.028,0.028,0.028,0.029,0.031,0.036,0.038,0.036,0.034,0.032,0.029,,,0.028
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
측 정 소: ,701,광복동,,,,,,,,,,,,,,,,,,,,,,,,,
측정항목: ,7,PM-10,,,,,,,,,,,,,,,,,,,,,,,,,
측정년월: , 2010년,01월,,,,,,,,,,,,,,,,,,,,,,,,,
구 분,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최소,최대,평균
1일,31,27,35,33,31,26,35,37,30,36,35,30,28,40,48,34,36,32,40,48,52,49,36,34,26,52,36
2일,40,55,43,38,36,51,59,52,63,66,79,62,62,62,67,91,66,68,76,83,84,79,105,83,36,105,65
3일,93,76,79,76,70,76,48,60,59,64,54,53,42,49,36,39,34,32,38,43,37,43,26,40,26,93,53
4일,24,48,33,24,35,44,40,36,45,69,72,63,35,22,34,51,78,87,96,69,56,45,48,51,22,96,50
5일,42,35,35,35,36,25,43,40,43,49,53,51,38,30,35,38,36,38,35,37,38,35,35,33,25,53,38
6일,25,33,33,36,35,28,31,21,37,42,49,교정중,49,53,47,35,48,54,47,35,41,42,45,5,5,54,38
7일,30,35,33,35,30,29,34,58,36,35,43,59,42,48,39,44,49,49,49,38,50,51,49,49,29,59,42
8일,33,43,44,50,40,53,56,51,60,54,55,50,64,69,66,64,54,54,44,39,38,38,29,42,29,69,50
9일,42,39,23,36,35,43,37,26,29,40,61,50,38,49,40,53,56,44,37,39,31,43,42,34,23,61,40
10일,41,38,42,56,52,47,55,63,65,72,90,69,67,79,79,91,78,96,84,84,80,81,70,68,38,96,69
11일,76,70,65,69,71,72,71,65,72,93,101,102,96,94,94,102,112,86,78,67,57,54,57,68,54,112,79
12일,61,40,48,55,43,52,54,41,36,64,교정중,교정중,61,43,58,47,41,41,42,49,44,40,41,49,36,64,48
13일,51,67,45,60,37,45,41,42,35,34,39,38,43,35,49,43,36,20,30,33,37,26,39,32,20,67,40
14일,29,40,28,35,25,35,26,30,29,47,47,41,42,42,48,47,41,43,41,41,37,48,47,44,25,48,39
15일,37,43,35,37,10,36,55,70,50,70,56,80,75,56,73,86,70,66,58,69,67,71,78,64,10,86,59
16일,67,59,57,43,56,34,49,71,50,47,37,50,75,49,61,36,39,52,37,68,58,60,47,42,34,75,52
17일,49,34,33,26,28,35,34,26,33,23,36,33,28,36,37,22,36,31,44,40,34,36,39,38,22,49,34
18일,44,42,44,33,35,28,38,43,47,49,50,51,66,99,84,91,77,89,99,44,88,96,84,80,28,99,63
19일,88,95,104,109,85,80,83,97,98,118,129,83,교정중,교정중,105,95,94,95,88,77,63,60,49,46,46,129,88
20일,55,42,37,48,43,65,65,100,56,66,64,76,60,63,42,44,44,55,42,58,52,62,71,57,37,100,57
21일,65,78,55,57,56,51,52,30,23,36,43,48,51,49,49,49,45,44,50,51,54,50,63,39,23,78,50
22일,41,41,37,32,25,21,35,47,40,43,49,35,37,40,24,37,56,41,59,52,49,52,44,48,21,59,41
23일,52,48,32,43,49,34,43,40,35,44,64,52,51,50,36,43,44,40,49,45,43,41,41,43,32,64,44
24일,36,49,43,37,41,48,41,36,35,44,39,45,37,49,51,39,39,44,48,49,44,43,51,55,35,55,43
25일,59,57,54,56,56,42,50,70,70,70,85,84,107,110,110,106,108,114,96,86,63,47,34,32,32,114,74
26일,33,35,39,38,38,44,44,47,47,41,43,교정중,교정중,45,42,41,45,40,45,44,52,45,43,35,33,52,42
27일,44,34,33,36,37,30,33,33,33,34,47,48,43,41,39,37,37,38,37,25,38,36,33,23,23,48,36
28일,32,24,38,26,35,48,65,70,77,73,73,73,58,56,52,49,44,45,46,56,62,50,56,62,24,77,53
29일,74,85,81,76,81,78,78,73,82,80,70,69,67,60,65,78,79,68,78,72,72,64,66,40,40,85,72
30일,36,23,37,42,38,42,47,51,50,45,57,53,68,67,69,78,76,74,79,83,93,94,95,93,23,95,62
31일,82,100,106,100,93,96,94,101,100,93,94,94,105,101,98,103,97,104,73,82,78,80,85,78,73,106,93
최소,24,23,23,24,10,21,26,21,23,23,35,30,28,22,24,22,34,20,30,25,31,26,26,5,5,,
최대,93,100,106,109,93,96,94,101,100,118,129,102,107,110,110,106,112,114,99,86,93,96,105,93,,129,
평균,49,50,47,48,45,46,50,52,50,56,60,59,56,56,57,58,58,58,57,55,55,54,53,49,,,53
